
301	158	35	11	21	20	1	1
294	166	40	15	24	23	3	1
305	180	36	17	20	24	3	0
324	145	42	14	25	17	0	0
304	155	30	8	25	16	2	1
306	154	29	15	21	20	3	0
298	179	38	11	22	13	1	0
320	153	37	13	18	19	0	0
320	176	34	14	16	16	1	0
316	170	33	16	27	11	1	0
317	171	32	13	16	22	2	0
314	178	29	11	26	18	1	0
295	172	30	19	19	11	1	0
318	170	26	16	29	19	3	0
301	185	29	18	15	15	1	0
334	155	28	13	23	19	2	0
313	165	31	18	31	19	1	1
313	158	38	20	17	20	3	0
317	171	32	10	26	13	0	0
332	161	34	26	21	18	2	0
303	166	32	17	29	19	2	0
307	177	31	15	17	15	2	1
306	162	40	17	25	23	1	0
319	164	33	14	17	15	1	0
301	157	44	15	22	16	3	1
282	177	35	18	18	23	2	0
308	147	36	21	29	22	0	0
327	143	33	21	25	22	2	0
322	147	37	9	24	17	4	2
296	173	35	16	20	13	2	1
294	173	35	19	16	18	2	0
319	144	32	13	26	18	1	0
311	174	27	9	23	16	1	0
315	183	29	22	16	21	2	0
320	160	35	17	32	17	1	0
303	169	37	10	26	12	1	0
344	158	31	12	15	12	1	0
305	175	25	12	28	15	1	0
343	143	31	21	21	16	1	0
322	166	37	18	12	17	2	0
305	158	29	14	24	15	1	0
318	155	26	20	18	21	0	0
295	173	39	11	22	18	1	0
329	172	25	12	23	18	0	0
332	159	31	15	16	19	1	0
308	152	40	14	28	15	1	0
334	151	25	18	29	12	2	2
309	176	42	17	22	9	0	0
308	181	36	21	16	17	4	0
331	169	37	15	13	13	2	0
316	169	31	16	18	22	0	0
312	169	43	12	17	11	2	0
306	177	37	17	27	11	1	0
326	149	34	27	24	19	0	0
295	166	41	17	22	22	1	0
314	170	31	22	23	13	0	0
312	169	32	14	21	23	0	0
329	144	34	16	19	16	1	0
326	160	31	17	20	22	1	0
306	172	34	18	17	18	1	0
300	174	36	15	21	18	1	0
319	169	31	16	23	17	2	0
312	156	34	12	33	16	0	0
296	150	39	19	29	21	2	0
305	153	42	18	26	21	0	1
308	172	31	13	18	23	1	1
298	187	29	15	23	16	1	0
316	158	33	16	35	18	3	0
317	158	32	15	30	16	1	0
318	160	32	14	18	14	2	0
298	174	35	19	27	22	3	1
327	168	32	16	31	14	1	0
300	169	34	24	17	19	2	0
320	152	33	17	21	23	3	0
295	200	32	16	18	18	3	0
292	174	34	18	22	26	1	0
318	176	37	9	20	13	2	1
304	188	30	13	22	25	2	0
321	159	40	8	22	23	1	0
332	165	34	10	22	12	2	0
309	168	33	20	26	18	1	0
309	181	21	15	27	19	1	0
329	152	40	10	31	15	0	0
299	177	28	15	22	18	2	0
297	177	32	11	20	17	4	0
317	147	28	14	22	23	3	0
323	156	27	22	28	19	0	0
321	178	33	6	13	18	1	0
297	193	33	17	19	19	1	1
317	167	32	14	18	11	2	0
333	164	32	19	20	15	1	0
301	177	36	12	20	17	2	0
302	154	39	15	23	20	2	1
293	190	34	14	26	18	1	0
322	168	39	11	28	16	3	0
287	176	31	12	22	29	1	0
294	160	32	21	29	12	1	0
329	150	33	19	13	15	0	0
327	169	32	16	16	15	2	0
322	155	35	14	20	20	1	1
303	160	37	16	19	20	2	1
346	146	34	15	20	13	2	0
305	181	32	15	16	17	1	0
291	175	32	18	19	15	2	0
314	164	31	12	25	19	0	0
311	155	40	13	26	14	2	0
319	165	23	19	22	12	0	0
304	159	39	14	25	22	2	0
332	160	26	16	19	13	2	0
311	166	35	17	27	22	1	0
319	141	33	13	18	19	1	0
311	186	33	19	13	21	2	0
304	180	40	13	18	15	0	0
312	186	33	14	25	11	1	1
323	161	40	12	23	15	1	0
305	157	39	19	21	16	2	1
309	157	29	15	30	14	1	0
292	190	35	8	18	35	0	0
311	171	40	13	24	18	0	0
314	166	29	13	15	21	0	1
308	157	34	18	24	17	2	1
336	144	32	15	20	21	1	0
295	167	30	14	23	19	0	0
312	168	29	15	17	24	0	1
304	160	38	13	27	18	0	0
314	154	36	15	20	20	2	0
306	183	31	11	21	18	0	0
310	174	34	10	18	23	0	0
316	167	36	15	21	18	1	0
308	166	49	8	21	19	1	0
302	190	29	14	21	18	1	0
302	167	40	14	25	19	1	0
325	166	37	12	14	21	0	1
319	148	40	16	27	24	0	0
3126	1603	342	164	209	180	11	2
3188	1640	334	152	207	195	11	2
3126	1643	339	142	203	191	19	0
3160	1629	358	126	221	191	10	2
3107	1685	308	139	224	210	16	1
3132	1637	348	157	221	199	9	3
3151	1661	331	134	216	172	16	2
3102	1668	332	125	209	185	11	4
3105	1676	352	130	207	164	9	2
3172	1603	328	151	204	179	10	2
3145	1635	346	146	231	182	18	2
3110	1665	313	146	219	175	13	4
31165	16518	3413	1439	2092	1769	126	18
